name:ita_x_preferred
name:jpn_x_preferred
geom:longitude
name:eus_x_variant
name:chi_x_variant
name:nor_x_preferred
name:lat_x_variant
wof:placetype
name:ger_x_variant
name:deu_x_preferred
wof:country
name:fre_x_variant
src:geom_alt
name:dut_x_variant
wof:hierarchy
mz:hierarchy_label
name:por_x_variant
name:rus_x_preferred
name:lat_x_preferred
wof:concordances
name:fre_x_preferred
iso:country
name:hin_x_preferred
wof:geomhash
name:ell_x_variant
wof:breaches
wof:name
name:eng_x_preferred
name:fin_x_preferred
name:cat_x_preferred
name:fra_x_preferred
name:por_x_preferred
name:spa_x_variant
name:epo_x_variant
name:bak_x_preferred
wof:id
misc:woeid
name:swe_x_preferred
name:nld_x_preferred
wof:repo
src:geom
name:eus_x_preferred
name:epo_x_preferred
wof:supersedes
wof:tags
geom:area
name:swe_x_variant
name:chi_x_preferred
name:tat_x_preferred
edtf:inception
name:tur_x_preferred
geom:bbox
geom:latitude
name:deu_x_variant
name:ell_x_preferred
name:ger_x_preferred
name:jpn_x_variant
name:und_x_colloquial
name:dut_x_preferred
wof:superseded_by
name:pol_x_preferred
name:spa_x_preferred
edtf:cessation
name:hun_x_preferred
name:fra_x_variant
name:und_x_preferred
name:ron_x_preferred
wof:belongsto
name:cat_x_variant
name:lav_x_preferred
name:eng_x_variant
name:ita_x_variant
wof:lastmodified
wk:wordcount
name:swe_x_colloquial
wof:parent_id
lbl:latitude
lbl:longitude
geom:area_square_m
src:lbl:centroid
mz:max_zoom
reversegeo:longitude
mz:tier_metro
mz:is_landuse_aoi
mz:min_zoom
mz:is_funky
mz:is_official
mz:is_hard_boundary
wof:controlled
reversegeo:latitude
qs:a1r
wof:lang
qs:level
name:ara_x_preferred
mps:longitude
mps:latitude
qs:a1
qs:a1_lc
name:hbs_x_preferred
qs:adm0
qs:loc_alt
name:unk_x_variant
qs:la_lc
qs:loc
qs:id
name:mlg_x_preferred
qs:pop
name:vol_x_preferred
qs:a0
qs:type
qs:source
name:hat_x_preferred
qs:loc_lc
gn:population
name:vie_x_preferred
name:srp_x_preferred
gn:elevation
wk:latitude
wk:elevation
wk:longitude
name:kaz_x_preferred
name:fas_x_preferred
name:uzb_x_preferred
name:urd_x_preferred
name:ido_x_preferred
name:zho_x_preferred
name:kor_x_preferred
name:azb_x_preferred
name:mar_x_preferred
name:war_x_preferred
name:ukr_x_preferred
name:dan_x_preferred
name:isl_x_preferred
name:ara_x_variant
ne:MAX_POP10
ne:NAME
ne:CAPIN
ne:NAMEPAR
ne:GEONAMESNO
ne:MIN_BBYMIN
ne:RANK_MIN
ne:MAX_BBXMAX
ne:POP2050
ne:ELEVATION
ne:MAX_NATSCA
ne:LS_NAME
ne:POP1990
ne:NATSCALE
ne:SCALERANK
ne:CITYALT
ne:NAMEALT
ne:MAX_BBXMIN
ne:GEONAMEID
ne:GN_POP
ne:POP1950
ne:POP1955
name:szl_x_preferred
ne:MEGANAME
ne:POP2005
ne:POP2020
ne:CAPALT
ne:SOV0NAME
ne:POP2025
ne:COMPARE
ne:NAMEDIFF
ne:RANK_MAX
ne:MAX_POP20
ne:POP1980
ne:FEATURE_CO
ne:FEATURE_CL
ne:MEGACITY
ne:UN_LAT
ne:MIN_BBXMIN
ne:MIN_BBXMAX
ne:TIMEZONE
ne:CHECKME
ne:LS_MATCH
ne:UN_FID
ne:LATITUDE
ne:MAX_POP50
ne:MIN_PERMI
ne:POP1995
ne:FEATURECLA
ne:MAX_PERKM
ne:MIN_BBYMAX
ne:POP1975
ne:POP2000
ne:ADM1NAME
ne:DIFFASCII
ne:LABELRANK
ne:MAX_POP300
ne:SOV_A3
ne:MEAN_BBYC
ne:ADMIN1_COD
ne:ISO_A2
ne:GTOPO30
ne:POP1960
ne:GN_ASCII
ne:POP1965
ne:NAMEASCII
ne:POP2010
ne:POP2015
wof:megacity
ne:UN_LONG
ne:MIN_AREAKM
wof:scale
ne:POP_MAX
ne:MAX_POP310
ne:MAX_AREAMI
name:eng_x_colloquial
ne:POP1970
ne:MAX_AREAKM
ne:MIN_PERKM
ne:MAX_PERMI
ne:DIFFNOTE
ne:UN_ADM0
ne:ADM0_A3
ne:POP_MIN
name:ces_x_preferred
ne:CHANGED
ne:MAX_BBYMAX
ne:WORLDCITY
ne:NOTE
ne:POP1985
ne:ADM0CAP
ne:MIN_AREAMI
ne:ADM0NAME
ne:POP_OTHER
ne:MEAN_BBXC
ne:LONGITUDE
ne:MAX_BBYMIN
name:bul_x_preferred
name:sqi_x_preferred
name:sah_x_preferred
name:heb_x_preferred
name:rus_x_variant
name:kor_x_variant
name:bel_x_preferred
name:hye_x_preferred
name:ind_x_preferred
wk:population
name:zho_x_variant
name:lit_x_preferred
name:swa_x_preferred
name:slk_x_preferred
name:glg_x_preferred
name:tha_x_preferred
name:tam_x_preferred
name:scn_x_preferred
name:aze_x_preferred
name:gla_x_preferred
name:che_x_preferred
name:est_x_preferred
name:cor_x_preferred
name:cym_x_preferred
name:nno_x_preferred
name:oss_x_preferred
name:msa_x_preferred
name:ina_x_preferred
name:tgl_x_preferred
name:pms_x_preferred
name:twi_x_preferred
name:fry_x_preferred
name:ksh_x_preferred
name:kat_x_preferred
name:mon_x_preferred
name:hrv_x_preferred
name:afr_x_preferred
name:bel_x_variant
name:jav_x_preferred
name:stq_x_preferred
name:zho_min_nan_x_preferred
name:srd_x_preferred
name:oci_x_preferred
name:gle_x_preferred
name:vep_x_preferred
name:bre_x_preferred
name:sco_x_preferred
name:arg_x_preferred
name:ceb_x_preferred
name:mwl_x_preferred
name:nep_x_preferred
name:san_x_preferred
name:kur_x_preferred
name:new_x_preferred
name:yue_x_preferred
name:sgs_x_preferred
name:mkd_x_preferred
name:nap_x_preferred
name:pdc_x_preferred
name:kir_x_preferred
name:ilo_x_preferred
name:fry_x_variant
name:que_x_preferred
name:som_x_preferred
name:ast_x_preferred
name:yid_x_preferred
name:bis_x_preferred
name:pli_x_preferred
name:slv_x_preferred
name:fao_x_preferred
name:zho_yue_x_preferred
name:yor_x_preferred
name:mrj_x_preferred
name:pan_x_preferred
name:pam_x_preferred
name:vec_x_preferred
name:lij_x_preferred
name:ext_x_preferred
name:ben_x_preferred
name:pnb_x_preferred
name:pap_x_preferred
name:cos_x_preferred
name:gan_x_preferred
name:uig_x_preferred
name:ile_x_preferred
name:xmf_x_preferred
name:tgk_x_preferred
name:fas_x_variant
geonames:id
name:nds_x_preferred
name:eng_x_unknown
zs:blockids
zs:pop10
zs:housing10
name:mal_x_preferred
name:bos_x_preferred
name:ltz_x_preferred
name:frr_x_preferred
name:zea_x_preferred
name:bar_x_preferred
name:chy_x_variant
name:chy_x_preferred
wk:area
name:chr_x_preferred
name:ang_x_preferred
name:ido_x_variant
name:glv_x_preferred
name:chv_x_preferred
name:lim_x_preferred
name:wln_x_preferred
name:lmo_x_preferred
name:csb_x_preferred
name:bxr_x_preferred
name:arz_x_preferred
name:mya_x_preferred
name:diq_x_preferred
name:aym_x_preferred
name:jam_x_preferred
name:bam_x_preferred
name:als_x_preferred
name:cdo_x_preferred
name:kan_x_preferred
name:xho_x_preferred
name:amh_x_preferred
name:bod_x_preferred
name:bpy_x_preferred
name:arc_x_preferred
name:nds_nld_x_preferred
name:ckb_x_preferred
name:mzn_x_preferred
name:hau_x_preferred
name:mhr_x_preferred
name:nav_x_preferred
name:hif_x_preferred
name:bjn_x_preferred
name:ava_x_preferred
name:xal_x_preferred
name:udm_x_preferred
name:kas_x_preferred
