id|lat|lon|iso country|poly country|link
890517711|San Antonio|29.428611111|-98.493333333|CL|US|https://whosonfirst.mapzen.com/spelunker/id/890517711/
890517985|Los Angeles|34.05|-118.25|CL|US|https://whosonfirst.mapzen.com/spelunker/id/890517985/
101925169|Jericho|31.856111|35.463056|ZA|PS|https://whosonfirst.mapzen.com/spelunker/id/101925169/
101925597|Derby|52.916667|-1.466667|ZA|GB|https://whosonfirst.mapzen.com/spelunker/id/101925597/
421172495|Burgos|42.340833|-3.699722|PH|ES|https://whosonfirst.mapzen.com/spelunker/id/421172495/
101927095|Rosetta|31.401389|30.419444|ZA|EG|https://whosonfirst.mapzen.com/spelunker/id/101927095/
102016801|Viña del Mar|-33.033333|-71.533333|CH|CL|https://whosonfirst.mapzen.com/spelunker/id/102016801/
102016833|Valparaíso|-33.066667|-71.633333|CH|CL|https://whosonfirst.mapzen.com/spelunker/id/102016833/
421173817|Valencia|39.466667|-0.375|TT|ES|https://whosonfirst.mapzen.com/spelunker/id/421173817/
102016995|San Antonio|29.428611|-98.493333|CL|US|https://whosonfirst.mapzen.com/spelunker/id/102016995/
421174609|San Antonio|29.428611|-98.493333|AR|US|https://whosonfirst.mapzen.com/spelunker/id/421174609/
102017123|Punta Arenas|-53.15|-70.916667|CH|CL|https://whosonfirst.mapzen.com/spelunker/id/102017123/
102017383|Matanzas|23.049444|-81.573611|CL|CU|https://whosonfirst.mapzen.com/spelunker/id/102017383/
101712965|Sheffield|53.3825|-1.471944|US|GB|https://whosonfirst.mapzen.com/spelunker/id/101712965/
421175197|Bello Horizonte|-19.891667|-43.947778|UY|BR|https://whosonfirst.mapzen.com/spelunker/id/421175197/
101716445|Glasgow|55.87|-4.27|US|GB|https://whosonfirst.mapzen.com/spelunker/id/101716445/
102017955|Punta Arenas|-53.15|-70.916667|CH|CL|https://whosonfirst.mapzen.com/spelunker/id/102017955/
102018045|San Sebastián|43.32|-1.98|CL|ES|https://whosonfirst.mapzen.com/spelunker/id/102018045/
421176707|San Clemente|33.437778|-117.620278|AR|US|https://whosonfirst.mapzen.com/spelunker/id/421176707/
421177307|San Antonio|29.428611|-98.493333|BZ|US|https://whosonfirst.mapzen.com/spelunker/id/421177307/
421177463|Adelaide|-34.933333|138.583333|BS|AU|https://whosonfirst.mapzen.com/spelunker/id/421177463/
421177591|San Antonio|29.428611|-98.493333|PE|US|https://whosonfirst.mapzen.com/spelunker/id/421177591/
101721299|St. Andrews|56.338889|-2.798889|US|GB|https://whosonfirst.mapzen.com/spelunker/id/101721299/
101930369|Geneva|46.2|6.15|AU|CH|https://whosonfirst.mapzen.com/spelunker/id/101930369/
